host,class,dead_url,wayback_snapshot,file,ref_num,notes
2k.com,404,https://2k.com/games/homeworld/,,Games/Homeworld/2015 - Homeworld Remastered Collection.md,3,
2k.com,404,https://2k.com/games/homeworld/,,Games/Homeworld/1999 - Homeworld.md,4,
2k.com,404,https://2k.com/games/homeworld/homeworld-remastered-collection/,,Games/Homeworld/2015 - Homeworld Remastered Collection.md,1,
4players.de,404,https://www.4players.de/4players.php/dispbericht/PC-CDROM/Test/288/184/0/Zeus_Herrscher_des_Olymp.html,,Games/Zeus/2000 - Zeus - Master of Olympus.md,4,
4players.de,404,https://www.4players.de/4players.php/dispbericht/PC-CDROM/Test/3681/2472/0/Contract_JACK.html,,Games/Monolith/2003 - Contract J.A.C.K..md,20,
abandonware-forums.org,ssl-error,https://www.abandonware-forums.org/forum/autres/les-aventuriers-de-la-traduction-perdue/799548-the-official-frogger-patch-fr,,Games/Arcade/1981 - Frogger.md,6,
abandonware-forums.org,ssl-error,https://www.abandonware-forums.org/forum/forum-ltf-abandonware-france/requ%C3%AAtes/903740-the-colonel-s-bequest,,Games/Laura Bow/1989 - The Colonel's Bequest.md,52,
abandonwaredos.com,404,https://www.abandonwaredos.com/abandonware-game.php?abandonware=King's+Quest+III+Redux:+To+Heir+is+Human&gid=3491,,Games/Fan Games/2011 - King's Quest III Redux - To Heir is Human.md,19,
abandonwaredos.com,404,https://www.abandonwaredos.com/abandonware-game.php?abandonware=Mickey's+Space+Adventure&gid=3163,,Games/Disney/1984 - Mickey's Space Adventure.md,21,
abandonwaredos.com,404,https://www.abandonwaredos.com/abandonware-game.php?abandonware=Pepper's+Adventures+in+Time&gid=1927,,Games/Standalone/1993 - Pepper's Adventures in Time.md,15,
abandonwaredos.com,404,https://www.abandonwaredos.com/abandonware-game.php?abandonware=The+Colonel's+Bequest&gid=1388,,Games/Laura Bow/1989 - The Colonel's Bequest.md,46,
abandonwaredos.com,404,https://www.abandonwaredos.com/abandonware-game.php?abandonware=Troll's+Tale&gid=2483,,Games/Standalone/1983 - Troll's Tale.md,19,
adventureclassicgaming.com,404,http://www.adventureclassicgaming.com/index.php/site/interviews/173/,,Series/Quest for Glory Series.md,4,
adventureclassicgaming.com,404,http://www.adventureclassicgaming.com/index.php/site/reviews/kings-quest/,,Games/King's Quest/2015 - King's Quest.md,16,
adventureclassicgaming.com,404,https://adventureclassicgaming.com/index.php/site/reviews/174/,,Games/Quest for Glory/1989 - Quest for Glory I - So You Want to Be a Hero.md,19,
adventureclassicgaming.com,404,https://adventureclassicgaming.com/index.php/site/reviews/kings_quest_iii_to_heir_is_human/,,Games/King's Quest/1986 - King's Quest III - To Heir Is Human.md,20,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/,,Publishers/Schnibble Productions.md,15,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/,,Games/Gabriel Knight/TBD - Gabriel Knight 4 - Five Hearts.md,12,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/,,Games/Cancelled/CXL - Precinct (2013).md,11,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/announcement/3108/jane-jensen-releases-gabriel-knight-short-story-five-hearts,,Games/Gabriel Knight/TBD - Gabriel Knight 4 - Five Hearts.md,2,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/blog/2219/is-laura-bow-ready-for-another-adventure,,Games/Laura Bow/1989 - The Colonel's Bequest.md,43,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/feature/3765/police-quest-3-the-kindred-a-fair-balanced-retrospective,,Games/Police Quest/1991 - Police Quest III - The Kindred.md,15,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/feature/4691/police-quest-iv-open-season-a-fair-balanced-retrospective,,Games/Police Quest/1993 - Police Quest - Open Season.md,25,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/interview/255/an-interview-with-ken-and-roberta-williams-colossal-cave-sierra-and-more,,Designers/Roberta Williams.md,19,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/interview/362/an-interview-with-musiciancomposer-robert-holmes,,Designers/Robert Holmes.md,5,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/interview/381/an-interview-with-jane-jensen-legendary-designer-of-the-gabriel-knight-trilogy,,Designers/Jane Jensen.md,10,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/interview/381/an-interview-with-jane-jensen-legendary-designer-of-the-gabriel-knight-trilogy-a,,Games/Spiritual Successors/2010 - Gray Matter.md,35,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/interview/754/al-lowe-has-a-tech-talk-with-daniel-albu-in-a-leisurely-in-depth-video-interview,,Designers/Al Lowe.md,1,
adventuregamehotspot.com,404,https://adventuregamehotspot.com/review/20/spaceventure,http://web.archive.org/web/20260305155004/https://adventuregamehotspot.com/review/20/spaceventure,Games/Spiritual Successors/2022 - SpaceVenture.md,1,applied
adventuregamehotspot.com,404,https://adventuregamehotspot.com/review/415/summer-daze-tillys-tale,http://web.archive.org/web/20260308175533/https://adventuregamehotspot.com/review/415/summer-daze-tillys-tale,Games/Spiritual Successors/2023 - Summer Daze - Tilly's Tale.md,3,applied
adventuregamer.blogspot.com,404,https://adventuregamer.blogspot.com/2011/08/game-4-kings-quest-ii-romancing-throne.html,,Games/King's Quest/1985 - King's Quest II - Romancing the Throne.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/15193,,Designers/Scott Murphy.md,44,
adventuregamers.com,404,https://adventuregamers.com/articles/view/17417,,Games/Fan Games/2012 - Space Quest - Incinerations.md,11,
adventuregamers.com,404,https://adventuregamers.com/articles/view/17490,,Designers/Scott Murphy.md,31,
adventuregamers.com,404,https://adventuregamers.com/articles/view/17883,,Games/Spiritual Successors/2010 - Gray Matter.md,18,
adventuregamers.com,404,https://adventuregamers.com/articles/view/18064,,Publishers/Himalaya Studios.md,5,
adventuregamers.com,404,https://adventuregamers.com/articles/view/21053,,Games/Spiritual Successors/2010 - Gray Matter.md,1,
adventuregamers.com,404,https://adventuregamers.com/articles/view/26007,,Publishers/Replay Games.md,5,
adventuregamers.com,404,https://adventuregamers.com/articles/view/26711,,Publishers/Infamous Quests.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/26878,,Games/Spiritual Successors/2018 - Bolt Riley - A Reggae Adventure.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/27601,,Publishers/Sunlight Games - KISS ltd.md,5,
adventuregamers.com,404,https://adventuregamers.com/articles/view/40041,,Publishers/Himalaya Studios.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/40181,,Publishers/Transolar Games.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/40401,,Publishers/Assemble Entertainment.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/order-of-the-thorne-the-kings-challenge,,Games/Spiritual Successors/2015 - Order of the Thorne - The King's Challenge.md,6,
adventuregamers.com,404,https://adventuregamers.com/articles/view/sierra-legacy,,Publishers/Sierra On-Line.md,10,
adventuregamers.com,404,https://adventuregamers.com/companies/view/30001,,Games/Adiboo/1992 - A.J.'s World of Discovery.md,15,
adventuregamers.com,404,https://adventuregamers.com/companies/view/50,,Games/Coktel/1989 - Legend of Djel.md,2,
adventuregamers.com,404,https://adventuregamers.com/forums/,,Games/Fan Games/2002 - King's Quest II+ - Romancing the Stones.md,15,
adventuregamers.com,404,https://adventuregamers.com/forums/viewthread/15732,,Games/Gobliiins/2026 - Gobliins 6.md,3,
adventuregamers.com,404,https://adventuregamers.com/games/view/14929,,Publishers/AGD Interactive.md,5,
adventuregamers.com,404,https://adventuregamers.com/games/view/17487,,Series/King's Quest Series.md,6,
adventuregamers.com,404,https://adventuregamers.com/games/view/21082,,Publishers/Infamous Adventures.md,5,
adventuregamers.com,404,https://adventuregamers.com/games/view/31147,,Games/Spiritual Successors/2018 - Bolt Riley - A Reggae Adventure.md,3,
adventuregamers.com,404,https://adventuregamers.com/games/view/8089,,Publishers/AGD Interactive.md,4,
adventuregamers.com,404,https://adventuregamers.com/news/view/gobliins6-a-quirky-comeback-adventure,,Games/Gobliiins/2026 - Gobliins 6.md,2,
adventuregamers.com,404,https://adventuregamers.com/presentation/2d-or-2-5d/page/82,,Games/Spiritual Successors/TBD - Order of the Thorne - Fortress of Fire.md,18,
adventuregamers.com,404,https://www.adventuregamers.com/articles/view/corey-cole,,Designers/Pablo Ghenis.md,3,
agdinteractive.com,404,https://www.agdinteractive.com/games/kq1/about/overview.html,,Games/King's Quest/1984 - King's Quest - Quest for the Crown.md,34,
agdinteractive.com,404,https://www.agdinteractive.com/games/qfg2/about/about.html,,Games/Quest for Glory/1990 - Quest for Glory II - Trial by Fire.md,21,
alexbevi.com,404,https://alexbevi.com/blog/2026/03/14/leisure-suit-larry-iii/,,Games/Leisure Suit Larry/1989 - Leisure Suit Larry III - Passionate Patti in Pursuit of the Pulsating Pectorals.md,11,
alexbevi.com,404,https://alexbevi.com/blog/2026/11/28/leisure-suit-larry-5/,,Games/Leisure Suit Larry/1991 - Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work.md,8,
allgame.com,dns-fail,https://www.allgame.com/game.php?id=12345,,Games/3D Ultra/1995 - 3-D Ultra Pinball.md,16,
allgame.com,dns-fail,https://www.allgame.com/game.php?id=23456,,Games/3D Ultra/1997 - 3-D Ultra MiniGolf.md,18,
allowe.com,dns-fail,http://www.allowe.com/Larry/DeveloperLookback.htm,,Games/Leisure Suit Larry/1991 - Leisure Suit Larry 1 - In the Land of the Lounge Lizards (VGA).md,21,
amiga.sierravault.net,dns-fail,https://amiga.sierravault.net/,,Games/Fan Games/2025 - SCP Sierra Conversion Project.md,16,
amigareviews.leveluphost.com,404,https://amigareviews.leveluphost.com/qfg.htm,,Games/Quest for Glory/1989 - Quest for Glory I - So You Want to Be a Hero.md,18,
amr.abime.net,404,http://amr.abime.net/review_thexder,,Games/Thexder/2009 - Thexder Neo.md,23,
angelfire.com,dns-fail,https://www.angelfire.com/ab4/testrun2B/cataclysm.html,,Games/Homeworld/2000 - Homeworld - Cataclysm.md,50,
angelfire.com,dns-fail,https://www.angelfire.com/hero/tjekanefir/rkrondor.htm,,Games/Krondor/1998 - Return to Krondor.md,19,
ann4761.tripod.com,dns-fail,https://ann4761.tripod.com/index-caesar.html,,Games/Caesar/1998 - Caesar III.md,3,
apple2games.com,404,https://apple2games.com/wiki/Hi-Res_Soccer,,Games/Hi-Res/1980 - Hi-Res Soccer.md,6,
apple2games.com,404,https://apple2games.com/wiki/Ribbit,,Games/Arcade/1981 - Frogger.md,30,
apple2games.com,404,https://www.apple2games.com/wiki/Aquatron,,Games/Arcade/1983 - Aquatron.md,7,
arcade-museum.com,404,http://www.arcade-museum.com/members/companydetails.php?id=6,,Publishers/Dynamix.md,9,
archive.org,404,https://archive.org/details/ricochet-demo,,Games/Valve/2000 - Ricochet.md,14,
archive.org,404,https://archive.org/details/sierra-annual-report-1998,,Games/3D Ultra/1995 - 3-D Ultra Pinball.md,4,
archive.org,404,https://archive.org/details/sierra-inside-the-chest-1988,,Games/King's Quest/1986 - King's Quest III - To Heir Is Human.md,25,
archive.org,404,https://archive.org/details/sierra-news-magazine-summer-1991,,Designers/Bill Davis.md,10,
archive.org,404,https://archive.org/stream/DragonMagazine192,,"Games/King's Quest/1992 - King's Quest VI - Heir Today, Gone Tomorrow.md",5,
archive.org,404,https://archive.org/stream/creativecomputing-1982-04/Creative_Computing_v08_n04_1982_Apr#page/n55/mode/2up,,Games/Arcade/1981 - Threshold.md,12,
